,название источника,наименование новости,ссылка на новость,дата публикации
0,yandex,ЦБ начал публиковать список компаний с признаками нелегальной деятельности,https://yandex.ru/news/story/CB_nachal_publikovat_spisok_kompanij_spriznakami_nelegalnoj_deyatelnosti--f29b88325207532e9c823a191b7038a6?lang=ru&from=main_portal&fan=1&stid=zHnSjsvlSfdJPVFrarK3&t=1622550438&persistent_id=145353111&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.f29b8832&utm_medium=topnews_news&utm_source=morda_desktop,
1,yandex,Зеленский назвал «Северный поток-2» козырем России против Украины,https://yandex.ru/news/story/Zelenskij_nazval_Severnyj_potok-2_kozyrem_Rossii_protiv_Ukrainy--1f62ce7cb7d9b2007f807644f5f81011?lang=ru&from=main_portal&fan=1&stid=-WxCcyAwG5ACyIPqxGGB&t=1622550438&persistent_id=145347952&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.1f62ce7c&utm_medium=topnews_news&utm_source=morda_desktop,
2,yandex,Госдума приняла закон о бесплатной газификации домов,https://yandex.ru/news/story/Gosduma_prinyala_zakon_obesplatnoj_gazifikacii_domov--567c83498dd7330e14e58b263f4d54b1?lang=ru&from=main_portal&fan=1&stid=bSX7pgP3g_nGithnydOd&t=1622550438&persistent_id=145316748&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.567c8349&utm_medium=topnews_news&utm_source=morda_desktop,
3,yandex,Путин призвал власти в регионах расширять программы поддержки семей,https://yandex.ru/news/story/Putin_prizval_vlasti_vregionakh_rasshiryat_programmy_podderzhki_semej--96d17db2177cc6a2a9c692b8813675c3?lang=ru&from=main_portal&fan=1&stid=ty9_QbzNEAIH-E6x-iGi&t=1622550438&persistent_id=144911969&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.96d17db2&utm_medium=topnews_news&utm_source=morda_desktop,
4,yandex,"Лукашенко рассказал, что отвез Путину аналитические материалы спецслужб",https://yandex.ru/news/story/Lukashenko_rasskazal_chto_otvez_Putinu_analiticheskie_materialy_specsluzhb--1593b353d462bbcd2ce74797c3dd5154?lang=ru&from=main_portal&fan=1&stid=YwWvZX8QXkGdILI96GWX&t=1622550438&persistent_id=145358994&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.1593b353&utm_medium=topnews_news&utm_source=morda_desktop,
5,yandex,Сборная Канады по хоккею уступила Финляндии по буллитам в матче чемпионата мира,https://yandex.ru/sport/story/Sbornaya_Kanady_pokhokkeyu_ustupila_Finlyandii_pobullitam_vmatche_chempionata_mira--992afedd0824821510ab7be30e5bd297?lang=ru&from=main_portal&fan=1&stid=Pys-JWbN0qwIWRmkEXit&t=1622550438&persistent_id=145370872&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.992afedd&utm_medium=topnews_news&utm_source=morda_desktop,
6,yandex,К политику Дмитрию Гудкову пришли с обыском,https://yandex.ru/news/story/Kpolitiku_Dmitriyu_Gudkovu_prishli_sobyskom--52e355f232e6e60df5d1cf1e2fa82ad7?lang=ru&from=main_portal&fan=1&stid=uCcZALrQpowz0msp_zeZ&t=1622550438&persistent_id=145331414&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.52e355f2&utm_medium=topnews_news&utm_source=morda_desktop,
7,yandex,Дания отказалась пускать российских болельщиков на матчи Евро-2020,https://yandex.ru/sport/story/Daniya_otkazalas_puskat_rossijskikh_bolelshhikov_namatchi_Evro-2020--f1980918b8c093c9c8538b608deb23f2?lang=ru&from=main_portal&fan=1&stid=yTaeBRqfpdSeb12hSe5A&t=1622550438&persistent_id=145362243&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.f1980918&utm_medium=topnews_news&utm_source=morda_desktop,
8,yandex,Губернатор Петербурга оценил эпидемиологическую ситуацию в городе,https://yandex.ru/news/story/Gubernator_Peterburga_ocenil_ehpidemiologicheskuyu_situaciyu_vgorode--bff9e762337c48e40fdeacc0dccf43f6?lang=ru&from=main_portal&fan=1&stid=exqDuEs2BA9MBCjdpQ0v&t=1622550438&persistent_id=145351059&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.bff9e762&utm_medium=topnews_news&utm_source=morda_desktop,
9,yandex,Обвиняемый в призывах к протестам перерезал себе горло в минском суде,https://yandex.ru/news/story/Obvinyaemyj_vprizyvakh_kprotestam_pererezal_sebe_gorlo_vminskom_sude--88cfc1b11f51db75a1937a6edcb43dc8?lang=ru&from=main_portal&fan=1&stid=dwxf5JXZW6lxPfhsgT4l&t=1622550438&persistent_id=145371776&lr=2&msid=1622550926.24872.85704.101340&mlid=1622550438.glob_225.88cfc1b1&utm_medium=topnews_news&utm_source=morda_desktop,
0,lenta,Российские пожарные спаслись от огня в ледяной реке и сняли это на видео,https://lenta.ru//news/2021/06/01/ogon/," 15:33,  1 июня 2021"
1,lenta,Германия поищет общий путь с США по «Северному потоку-2»,https://lenta.ru//news/2021/06/01/common_way_strategy/," 15:31,  1 июня 2021"
2,lenta,Тимати высказался об отношениях с победительницей «Холостяка»,https://lenta.ru//news/2021/06/01/timatiiii/," 15:29,  1 июня 2021"
3,lenta,Белоруссия заявила о планах интеграции с Россией без потери суверенитета,https://lenta.ru//news/2021/06/01/finish_bel/," 15:22,  1 июня 2021"
4,lenta,Губернатор Петербурга оценил эпидемиологическую ситуацию в городе,https://lenta.ru//news/2021/06/01/beglov/," 15:20,  1 июня 2021"
5,lenta,«Яндекс» запустил сервис аренды жилья,https://lenta.ru//news/2021/06/01/distanz/," 15:17,  1 июня 2021"
6,lenta,Канада проиграла Финляндии и оказалась в шаге от вылета с чемпионата мира,https://lenta.ru//news/2021/06/01/canadapobeda/," 15:07,  1 июня 2021"
7,lenta,Раскрыт новый гаджет Apple,https://lenta.ru//news/2021/06/01/homepodtv/," 15:06,  1 июня 2021"
8,lenta,Шеф-повар раскрыл секреты приготовления вкусного шашлыка,https://lenta.ru//news/2021/06/01/shashlyk/," 14:58,  1 июня 2021"
0,mail, 				Лукашенко: в чемодане для Путина были материалы спецслужб,https://news.mail.ru/politics/46551020/?frommail=1,
1,mail,Кадыров стал богатейшим российским главой региона,https://news.mail.ru/politics/46552099/?frommail=1,
2,mail,В Италии вышел на свободу один из самых жестоких мафиози,https://news.mail.ru/incident/46552338/?frommail=1,
3,mail,Куда можно без ограничений полететь привившимся «Спутником V»,https://news.mail.ru/society/46551951/?frommail=1,
4,mail,Счетная палата озвучила средний размер страховой пенсии,https://news.mail.ru/economics/46543757/?frommail=1,
5,mail,Тест: хорошо ли вы помните героев советских мультфильмов?,https://news.mail.ru/society/46538560/?frommail=10,
6,mail,Стивен Кинг назвал самый страшный фильм ужасов,https://news.mail.ru/society/46550898/?frommail=10,
7,mail,ЦБ опубликовал черный список нелегальных компаний,https://news.mail.ru/economics/46549463/?frommail=1,
8,mail,Центр Петербурга ждут ограничения движения с начала июня,https://news.mail.ru/society/46551889/,
